collection_key,theme_slug,theme_name,theme_group,title,edition_key,subcourse,provider,dataset_key,source_name,source_url,source_item_key,source_component_key,official_ordinal,place_name,address_hint,feature_id,sort_order,item_title,item_summary,metadata_json
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-038,primary,38,속리산법주사&테마파크,,f_4372031527_p_324144481dd7739f,38,속리산법주사&테마파크,2023-2024 한국관광 100선 공식 선정지,"{""region"":""충북"",""official_entry_type"":""composite"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""속리산 법주사는 확인했으나 테마파크 Feature가 없어 부분 매칭임""],""feature_match_partial"":true}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-039,primary,39,도담삼봉,,f_4380025324_p_0602e66a0e500e00,39,도담삼봉,2023-2024 한국관광 100선 공식 선정지,"{""region"":""충북"",""official_entry_type"":""single"",""feature_match_confidence"":""high"",""feature_match_reasons"":[""확인된 명칭 변형이 같은 공식 장소를 가리킴""],""feature_match_partial"":false}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-040,primary,40,청풍호반케이블카,,,40,청풍호반케이블카,2023-2024 한국관광 100선 공식 선정지,"{""region"":""충북"",""official_entry_type"":""single"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에서 동일 장소로 안전하게 판단할 Feature를 찾지 못함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-041,primary,41,만천하스카이워크&단양강 잔도,,,41,만천하스카이워크&단양강 잔도,2023-2024 한국관광 100선 공식 선정지,"{""region"":""충북"",""official_entry_type"":""composite"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에서 동일 장소로 안전하게 판단할 Feature를 찾지 못함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-042,primary,42,수덕사,,,42,수덕사,2023-2024 한국관광 100선 공식 선정지,"{""region"":""충남"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""지역이 맞는 공공 후보가 있으나 명칭이 동일 장소라고 단정할 수 없어 Feature ID를 채택하지 않음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-043,primary,43,대천해수욕장,,f_4418011000_p_c2e5efd9883fb324,43,대천해수욕장,2023-2024 한국관광 100선 공식 선정지,"{""region"":""충남"",""official_entry_type"":""single"",""feature_match_confidence"":""exact"",""feature_match_reasons"":[""공식·공공 제공자 후보의 명칭이 일치하고 지역 단서가 충돌하지 않음""],""feature_match_partial"":false}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-044,primary,44,안면도 꽃지해변,,,44,안면도 꽃지해변,2023-2024 한국관광 100선 공식 선정지,"{""region"":""충남"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""꽃지 할미·할아비바위는 인접 국가유산이지만 꽃지해변 자체 Feature와 같다고 볼 수 없어 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-045,component-01,45,"부여 백제유적지(부소산성, 궁남지)",,f_4476025031_p_5c7bafa3cd6a80c4,45,"부여 백제유적지(부소산성, 궁남지)",2023-2024 한국관광 100선 공식 선정지,"{""region"":""충남"",""official_entry_type"":""single"",""feature_match_confidence"":""high"",""feature_match_reasons"":[""복합 대상 2개 중 2개 구성 지점을 공식·공공 후보에서 확인""],""feature_match_partial"":false}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-045,component-02,45,"부여 백제유적지(부소산성, 궁남지)",,f_4476025028_p_a6c9242d35c53fdf,45,"부여 백제유적지(부소산성, 궁남지)",2023-2024 한국관광 100선 공식 선정지,"{""region"":""충남"",""official_entry_type"":""single"",""feature_match_confidence"":""high"",""feature_match_reasons"":[""복합 대상 2개 중 2개 구성 지점을 공식·공공 후보에서 확인""],""feature_match_partial"":false}"
korean-tourism-100:2023-2024,korean-tourism-100,한국관광 100선,관광 선정,2023-2024 한국관광 100선,2023-2024,,korea-tourism-organization,korean-tourism-100-2023-2024,문화체육관광부·한국관광공사,https://korean.visitkorea.or.kr/other/other_list.do?otdid=622bcd99-84fa-11e8-8165-020027310001,kt100-2023-2024-046,primary,46,"공주 백제유적지(공산성, 송산리고분군)",,,46,"공주 백제유적지(공산성, 송산리고분군)",2023-2024 한국관광 100선 공식 선정지,"{""region"":""충남"",""official_entry_type"":""single"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""지역이 맞는 공공 후보가 있으나 명칭이 동일 장소라고 단정할 수 없어 Feature ID를 채택하지 않음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
