collection_key,theme_slug,theme_name,theme_group,title,edition_key,subcourse,provider,dataset_key,source_name,source_url,source_item_key,source_component_key,official_ordinal,place_name,address_hint,feature_id,sort_order,item_title,item_summary,metadata_json
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful11,primary,11,우도등대,제주특별자치도 제주시 우도면 연평리,,11,우도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful12,primary,12,울기등대,울산광역시 동구 일산동,,12,울기등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful13,primary,13,팔미도등대,인천광역시 중구 무의동,,13,팔미도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful14,primary,14,호미곶등대,경상북도 포항시 남구 호미곶면 대보리,,14,호미곶등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:beautiful-lighthouses:season-1,beautiful-lighthouses,아름다운 등대,등대 스탬프투어,아름다운 등대 · 등대 스탬프투어,season-1,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-1,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/but/list,beautiful15,primary,15,홍도등대,전라남도 신안군 흑산면 홍도리,,15,홍도등대,아름다운 등대 공식 스탬프 거점,"{""season"":1,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history01,primary,1,가거도등대,전라남도 신안군 흑산면 가거도리,,16,가거도등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history02,primary,2,가사도등대,전라남도 진도군 조도면 가사도리,,17,가사도등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history03,primary,3,거문도등대,전라남도 여수시 삼산면 덕촌리,,18,거문도등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""review"",""feature_match_reasons"":[""등대 자체 Feature가 아니고 인접 섬·항·공원 후보뿐이어서 위치 대체를 보류함""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history04,primary,4,당사도등대,전라남도 완도군 소안면 당사리,,19,당사도등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
lighthouse-stamp-tour:historic-lighthouses:season-2,historic-lighthouses,역사가 있는 등대,등대 스탬프투어,역사가 있는 등대 · 등대 스탬프투어,season-2,,korea-institute-of-aids-to-navigation,lighthouse-stamp-tour-season-2,해양수산부·한국항로표지기술원,https://www.lighthouse-museum.or.kr/sea/passport/his/list,history05,primary,5,말도등대,전북특별자치도 군산시 옥도면 말도리,,20,말도등대,역사가 있는 등대 공식 스탬프 거점,"{""season"":2,""stamp_point_type"":""lighthouse"",""suggested_category"":""01050400"",""feature_match_confidence"":""unmatched"",""feature_match_reasons"":[""제공된 운영 후보에 해당 등대 자체 또는 안전한 동일 지점 Feature가 없음""],""feature_match_partial"":false,""feature_match_status"":""unresolved""}"
